"과속방지턱관리번호",시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,위도,경도,보차분리여부,연속형여부,과속방지턱설치연도,관리기관명,관리기관전화번호,데이터기준일자
24,경기도,오산시,황새로,,경기도 오산시 가수동 372-1,LG화학 앞,1,1,10,360,800,1,Y,37.1444485,127.0617352,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
25,경기도,오산시,황새로,,경기도 오산시 가수동 372-1,LG화학 부근,1,1,10,360,800,1,Y,37.1446761,127.0617523,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
26,경기도,오산시,성호대로,,경기도 오산시 가수동 303-18,즐거운교회 부근,1,1,10,360,600,1,Y,37.1499763,127.0622125,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
27,경기도,오산시,발안로,,경기도 오산시 탑동 264-4,바오1976 앞,1,1,10,360,700,1,Y,37.1390265,127.0467026,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
28,경기도,오산시,발안로,,경기도 오산시 탑동 264-4,바오1976 부근,99,3,0,360,700,1,Y,37.1391527,127.0467533,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
29,경기도,오산시,발안로,,경기도 오산시 탑동 264-2,빨간돼지왕족발 부근,99,3,0,360,400,1,Y,37.1387494,127.0467981,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
30,경기도,오산시,발안로,,경기도 오산시 탑동 260-2,빨간돼지왕족발 앞,1,1,10,360,400,1,Y,37.1385128,127.0470399,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
31,경기도,오산시,황새로,,경기도 오산시 탑동 201-3,탑리아파트 입구,1,1,10,360,600,1,Y,37.1329705,127.0489187,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
32,경기도,오산시,황새로,,경기도 오산시 탑동 202-3,탑리아파트 입구,1,1,10,360,600,1,Y,37.1328691,127.0490651,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
33,경기도,오산시,황새로,,경기도 오산시 탑동 258,오산천 옆,1,1,10,360,500,1,Y,37.1315701,127.0524769,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
34,경기도,오산시,황새로,,경기도 오산시 탑동 258,오산천 옆,1,1,10,360,500,1,Y,37.1321488,127.0530119,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
35,경기도,오산시,황새로,,경기도 오산시 탑동 258,천변교 앞,1,1,10,360,800,1,Y,37.1334521,127.0552636,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
36,경기도,오산시,서부로,,경기도 오산시 두곡동 산 31,두곡1길 밭 사이,1,1,10,360,200,2,Y,37.1283655,127.0447183,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
37,경기도,오산시,두곡로,,경기도 오산시 두곡동 131-4,비닐하우스 옆,1,1,10,360,300,2,Y,37.1294758,127.0452591,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
38,경기도,오산시,두곡로,,경기도 평택시 서탄면 수월암리 25,바우디자인 옆,1,1,10,360,300,2,Y,37.1292235,127.0452252,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
39,경기도,오산시,두곡로,,경기도 오산시 두곡동 169,한국자율방범 경기도연합회 인근,1,1,10,360,300,2,Y,37.1296943,127.0454055,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
40,경기도,오산시,서부로,,경기도 오산시 두곡동 142-7,가현건축 인근,1,1,10,360,300,2,Y,37.1302063,127.0437291,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
41,경기도,오산시,황새로,,경기도 오산시 두곡동 96-6,탑리목장 인근,1,1,10,360,500,2,Y,37.1302503,127.0518991,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
42,경기도,오산시,남부대로,,경기도 오산시 고현동 270,고현아이파크 후문,1,1,10,360,800,1,Y,37.1331234,127.0786691,Y,Y,,경기도 오산시청,031-8036-7702,2021-01-09
43,경기도,오산시,남부대로,,경기도 오산시 고현동 270,고현아이파크 후문,1,1,10,360,800,1,Y,37.1331504,127.0787311,Y,Y,,경기도 오산시청,031-8036-7702,2021-01-09
44,경기도,오산시,남부대로,,경기도 오산시 고현동 270,고현아이파크 정문,1,1,10,360,800,1,Y,37.1340634,127.0811854,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
45,경기도,오산시,남부대로,,경기도 오산시 고현동 17-2,천상대게 앞,99,3,0,360,600,1,Y,37.1357175,127.0801743,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
46,경기도,오산시,남부대로,,경기도 오산시 고현동 39,베스트홍치과 부근,1,1,10,360,1100,1,Y,37.1350207,127.0821431,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
47,경기도,오산시,남부대로,,경기도 오산시 고현동 54,오산빌리지 인근,1,1,10,360,700,1,Y,37.1344294,127.0828768,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
48,경기도,오산시,남부대로,,경기도 오산시 고현동 54,오산오토 앞,1,1,10,360,500,1,Y,37.1341047,127.0832647,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
49,경기도,오산시,남부대로,,경기도 오산시 고현동 56,춘희감자탕 인근,1,1,10,360,500,1,Y,37.1337415,127.0839761,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
50,경기도,오산시,남부대로,,경기도 오산시 고현동 81-2,고현초 앞,1,1,10,360,1400,1,Y,37.1331981,127.0847352,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
51,경기도,오산시,남부대로,,경기도 오산시 고현동 81-2,고현초 앞,1,1,10,360,1400,1,Y,37.1328621,127.0851962,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
52,경기도,오산시,남부대로,,경기도 오산시 고현동 110,고현초 부근,1,1,10,360,1400,1,Y,37.1324134,127.0858822,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
53,경기도,오산시,남부대로,,경기도 오산시 고현동 174-5,오능이 앞,1,1,10,360,1400,1,Y,37.1304537,127.0887611,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
54,경기도,오산시,남부대로,,경기도 오산시 고현동 174-5,오능이 부근,1,1,10,360,1400,1,Y,37.1303273,127.0890675,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
55,경기도,오산시,남부대로,,경기도 오산시 고현동 54,카페도란도란 앞,1,1,10,360,300,2,Y,37.1345798,127.0836131,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
56,경기도,오산시,남부대로,,경기도 오산시 고현동 54,카페도란도란 부근,1,1,10,360,300,2,Y,37.1344807,127.0835718,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
57,경기도,오산시,남부대로,,경기도 오산시 고현동 69-6,이림유치원 앞,1,1,10,360,500,2,Y,37.1355364,127.0846393,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
58,경기도,오산시,남부대로,,경기도 오산시 고현동 73-12,우촌경노회관 인근,1,1,10,360,500,2,Y,37.1345363,127.0845932,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
59,경기도,오산시,남부대로,,경기도 오산시 고현동 57-5,춘희감자탕 인근,1,1,10,360,500,2,Y,37.1338722,127.0840213,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
60,경기도,오산시,남부대로,,경기도 오산시 고현동 54,고현초 인근,1,1,10,360,500,2,Y,37.1339844,127.0845954,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
61,경기도,오산시,오산천로,,경기도 오산시 갈곶동 1,황새교 위,1,1,10,360,600,1,Y,37.1351067,127.0618374,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
62,경기도,오산시,오산로,,경기도 오산시 갈곶동 704,한솔솔파크아파트 후문,1,2,10,360,500,1,Y,37.1346062,127.0668649,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
63,경기도,오산시,오산로,,경기도 오산시 갈곶동 704,한솔솔파크아파트 내부,1,2,10,360,500,1,Y,37.1339282,127.0668136,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
64,경기도,오산시,오산로,,경기도 오산시 갈곶동 704,한솔솔파크아파트 주차장앞,1,2,10,360,700,1,Y,37.1346644,127.0670645,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
65,경기도,오산시,오산로,,경기도 오산시 갈곶동 110-5,우방힐타운아파트 내부,1,1,10,360,500,1,Y,37.1336958,127.0674465,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
66,경기도,오산시,오산로,,경기도 오산시 갈곶동 110-5,우방힐타운아파트 내부,1,1,10,360,500,1,Y,37.1337476,127.0674915,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
67,경기도,오산시,오산로,,경기도 오산시 갈곶동 110-5,우방힐타운아파트 내부,1,1,10,360,500,1,Y,37.1338102,127.0683328,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
68,경기도,오산시,오산로,,경기도 오산시 갈곶동 110-5,우방힐타운아파트 정문,1,1,10,360,700,1,Y,37.1337063,127.0686761,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
69,경기도,오산시,오산로,,경기도 오산시 갈곶동 110-5,우방힐타운아파트 정문,1,1,10,360,300,1,N,37.1337131,127.0689095,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
70,경기도,오산시,오산로,,경기도 오산시 갈곶동 112-30,양지뜰 앞,1,1,10,360,700,1,Y,37.1326185,127.0682868,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
71,경기도,오산시,오산로,,경기도 오산시 갈곶동 146,오산KCC스위첸아파트 인근,1,1,10,360,600,1,Y,37.13213001,127.0678136,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
72,경기도,오산시,오산로,,경기도 오산시 갈곶동 146,오산KCC스위첸아파트 정문 앞,1,1,10,360,900,1,Y,37.1316073,127.0678948,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
73,경기도,오산시,오산로,,경기도 오산시 갈곶동 175,화남아파트 내부,1,1,10,360,500,1,Y,37.1298597,127.0670407,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
74,경기도,오산시,오산로,,경기도 오산시 갈곶동 175,화남아파트 내부,4,1,10,360,500,1,Y,37.1298081,127.0668803,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
75,경기도,오산시,오산로,,경기도 오산시 갈곶동 175,화남아파트 내부,4,1,10,360,500,1,Y,37.1296346,127.0668071,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
76,경기도,오산시,오산로,,경기도 오산시 갈곶동 175,화남아파트 내부,1,1,10,360,500,1,Y,37.1297245,127.0671025,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
77,경기도,오산시,오산로,,경기도 오산시 갈곶동 175,화남아파트 정문,1,1,10,360,500,1,Y,37.1297741,127.0672264,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
78,경기도,오산시,오산로,,경기도 오산시 갈곶동 180-2,리싸이클시티 앞,1,1,10,360,700,1,Y,37.1292221,127.1673553,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
79,경기도,오산시,오산로,,경기도 오산시 갈곶동 184-2,원조남원추어탕 부근,1,1,10,360,700,1,Y,37.1287986,127.0672367,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
80,경기도,오산시,오산로,,경기도 오산시 갈곶동 186-2,오산세종병원 앞,1,1,10,360,700,1,Y,37.1277265,127.0669601,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
81,경기도,오산시,경기대로,,경기도 오산시 갈곶동 231,오산가구아울렛 앞,1,1,10,360,500,2,Y,37.1285313,127.0697601,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
82,경기도,오산시,경기대로,,경기도 오산시 갈곶동 227,순복음오산교회 앞,1,1,10,360,300,2,N,37.1286797,127.0703679,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
83,경기도,오산시,오산로,,경기도 오산시 갈곶동 208-1,태양아파트 옆,1,1,10,360,600,1,Y,37.1298434,127.0680226,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
84,경기도,오산시,오산로,,경기도 오산시 갈곶동 219-6,N마트 부근,1,1,10,360,800,1,Y,37.1295256,127.0683065,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
85,경기도,오산시,경기대로,,경기도 오산시 갈곶동 220-11,N마트 옆,1,1,10,360,600,1,Y,37.1291899,127.0684722,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
86,경기도,오산시,경기대로,,경기도 오산시 갈곶동 208,재경주택 옆,1,1,10,360,300,1,Y,37.1287032,127.0686433,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
87,경기도,오산시,경기대로,,경기도 오산시 갈곶동 202,재경주택 옆,1,1,10,360,600,1,Y,37.1284464,127.0686544,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
88,경기도,오산시,경기대로,,경기도 오산시 갈곶동 220-12,동부아파트 부근,1,1,10,360,600,1,Y,37.1303851,127.0700403,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
89,경기도,오산시,경기대로,,경기도 오산시 갈곶동 224-7,예솔어린이집 옆,1,1,10,360,600,1,Y,37.1296659,127.0710103,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
90,경기도,오산시,오산로,,경기도 오산시 갈곶동 162-15,소망빌 앞,1,1,10,360,600,1,Y,37.1310142,127.0690168,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
91,경기도,오산시,오산로,,경기도 오산시 갈곶동 159-28,갈곶원룸텔 앞,1,1,10,360,600,1,Y,37.1308403,127.0698157,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
92,경기도,오산시,오산로,,경기도 오산시 갈곶동 271-5,대원벨칸토음악학원 앞,1,1,10,360,600,1,Y,37.1313688,127.0712538,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
93,경기도,오산시,오산로,,경기도 오산시 갈곶동 271-5,서울제일교회 옆,1,1,10,360,600,1,Y,37.13137301,127.0717012,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
94,경기도,오산시,오산로,,경기도 오산시 갈곶동 159-30,MTA독수리태권도 부근,1,1,10,360,500,1,Y,37.1315524,127.0693099,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
95,경기도,오산시,오산로,,경기도 오산시 갈곶동 153-8,MTA독수리태권도 앞,1,1,10,360,500,1,Y,37.1318429,127.0695577,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
96,경기도,오산시,오산로,,경기도 오산시 갈곶동 272-4,EMA학원 뒤,1,1,10,360,300,2,Y,37.1316101,127.0708799,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
97,경기도,오산시,경기대로,,경기도 오산시 원동 807-2,김경옥가마솥추어탕 옆,1,1,10,360,300,2,Y,37.1317964,127.0719773,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
98,경기도,오산시,경기대로,,경기도 오산시 갈곶동 718,갈곶동성당 앞,1,1,10,360,900,1,Y,37.1291807,127.072456,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
99,경기도,오산시,경기대로,,경기도 오산시 갈곶동 715,갈곶피오레아파트 입구,4,1,10,360,400,2,Y,37.1293071,127.0723351,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
100,경기도,오산시,엘지로,,경기도 평택시 진위면 갈곶리 628,진로마트 옆,1,1,10,360,600,1,Y,37.1277771,127.0690364,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
101,경기도,오산시,엘지로,,경기도 평택시 진위면 갈곶리 628,쉐누하우스 앞,1,1,10,360,600,1,Y,37.1274931,127.0694309,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
102,경기도,오산시,엘지로,,경기도 오산시 갈곶동 235-1,오산시현대힐스테이트 후문,1,1,10,360,600,1,Y,37.1273285,127.0696521,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
103,경기도,오산시,엘지로,,경기도 오산시 갈곶동 235-2,한일아파트 앞,1,1,10,360,600,1,Y,37.1268663,127.0703494,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
104,경기도,오산시,엘지로,,경기도 오산시 갈곶동 235-2,한일아파트 앞,1,1,10,360,600,1,Y,37.126667,127.0705264,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
105,경기도,오산시,엘지로,,경기도 평택시 진위면 갈곶리 609,한일아파트 앞,1,1,10,360,600,1,Y,37.1260753,127.070886,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
106,경기도,오산시,엘지로,,경기도 평택시 진위면 갈곶리 609,갈곶초 부근,1,1,10,360,600,1,Y,37.1256471,127.071119,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
107,경기도,오산시,경기대로,,경기도 오산시 갈곶동 236-7,갈곶초 부근,1,1,10,360,300,2,Y,37.1256426,127.0712513,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
108,경기도,오산시,경기대로,,경기도 오산시 갈곶동 236-7,갈곶초 부근,1,1,10,360,600,2,Y,37.1257752,127.0716651,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
109,경기도,오산시,엘지로,,경기도 오산시 갈곶동 384-2,김경자소문난대구왕뽈찜 인근,1,1,10,360,1000,1,Y,37.1260583,127.0798715,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
110,경기도,오산시,동부대로,,경기도 오산시 갈곶동 363,오산볼트공구 부근,1,1,10,360,800,1,Y,37.1265251,127.0793403,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
111,경기도,오산시,동부대로,,경기도 오산시 갈곶동 302-17,한솔애드 앞,1,1,10,360,500,1,Y,37.1273294,127.0770117,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
112,경기도,오산시,동부대로,,경기도 오산시 갈곶동 302-28,알엠 인근,1,1,10,360,1100,1,Y,37.1275603,127.0773186,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
113,경기도,오산시,동부대로,,경기도 오산시 갈곶동 302-18,일렉파워전자 앞,1,1,10,360,1100,1,Y,37.1275733,127.0780473,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
114,경기도,오산시,남부대로,,경기도 오산시 갈곶동 327-1,융창상사 부근,1,1,10,360,500,2,Y,37.1336271,127.0767701,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
115,경기도,오산시,동부대로,,경기도 오산시 청호동 329,오산자이아파트 부근,1,1,10,360,400,2,Y,37.1303745,127.0797101,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
116,경기도,오산시,동부대로,,경기도 오산시 갈곶동 707,오산자이아파트 부근,1,1,10,360,400,2,Y,37.1301491,127.0798646,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
117,경기도,오산시,청호로,,경기도 오산시 갈곶동 707,오산자이아파트 부근,1,1,10,360,400,2,Y,37.1291958,127.0805247,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
118,경기도,오산시,청호로,,경기도 오산시 청호동 332,오산자이아파트 부근,1,1,10,360,700,1,Y,37.1288238,127.0810392,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
119,경기도,오산시,청호로,,경기도 오산시 청호동 327,영재빌딩 앞,1,1,10,360,1100,1,Y,37.1312838,127.0841141,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
120,경기도,오산시,청호로,,경기도 오산시 청호동 327,순복음새중앙교회 앞,1,1,10,360,1100,1,Y,37.1320919,127.0849844,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
121,경기도,오산시,동부대로,,경기도 오산시 청호동 331,품어주는교회 앞,1,1,10,360,500,1,Y,37.1317376,127.0792895,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
122,경기도,오산시,동부대로,,경기도 오산시 청호동 331,오산자이아파트 앞,4,1,10,360,700,1,Y,37.1317961,127.0795541,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
123,경기도,오산시,동부대로,,경기도 오산시 청호동 331,오산자이아파트 앞,1,1,10,360,500,1,Y,37.1319941,127.0798074,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
124,경기도,오산시,동부대로,,경기도 오산시 청호동 330,오산자이아파트 옆,1,1,10,360,700,1,Y,37.1322431,127.0815436,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
125,경기도,오산시,동부대로,,경기도 오산시 청호동 330,오산자이아파트 옆,1,1,10,360,1100,1,Y,37.1310456,127.0832361,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
126,경기도,오산시,청호로,,경기도 오산시 청호동 332,오산청호엘리시아아파트 앞,1,1,10,360,600,1,Y,37.1306948,127.0824366,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
127,경기도,오산시,청호로,,경기도 오산시 청호동 332,오산청호엘리시아아파트 앞,1,1,10,360,600,1,Y,37.1302985,127.082214,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
128,경기도,오산시,청호로,,경기도 오산시 청호동 336,오산청호엘리시아아파트 앞,4,1,10,360,1100,1,Y,37.13008011,127.0820534,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
129,경기도,오산시,청호로,,경기도 오산시 청호동 332,오산청호엘리시아아파트 앞,1,1,10,360,600,1,Y,37.1296636,127.0816534,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
130,경기도,오산시,청호로,,경기도 오산시 청호동 332,오산청호엘리시아아파트 앞,1,1,10,360,600,1,Y,37.1292336,127.0813266,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
131,경기도,오산시,남부대로,,경기도 오산시 고현동 16,LG아파트 앞,4,1,10,360,300,2,Y,37.1324244,127.0830856,N,N,,경기도 오산시청,031-8036-7702,2021-01-09
132,경기도,오산시,남부대로,,경기도 오산시 청호동 173,해오름어린이집 앞,1,1,10,360,400,1,Y,37.1325025,127.0840592,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
133,경기도,오산시,남부대로,,경기도 오산시 청호동 173,태은빌 앞,1,1,10,360,400,1,Y,37.1325608,127.0844706,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
134,경기도,오산시,남부대로,,경기도 오산시 청호동 173,진성빌딩 앞,1,1,10,360,300,2,Y,37.1322773,127.0839295,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
135,경기도,오산시,남부대로,,경기도 오산시 청호동 37-4,청호지역아동센터 앞,1,1,10,360,300,2,Y,37.1316805,127.0837291,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
136,경기도,오산시,엘지로,,경기도 오산시 청호동 344,휴먼시아아파트 앞,1,1,10,360,700,1,Y,37.1291176,127.0890604,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
137,경기도,오산시,엘지로,,경기도 오산시 청호동 344,휴먼시아아파트 앞,1,1,10,360,1100,1,Y,37.1295227,127.0895364,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
138,경기도,오산시,엘지로,,경기도 오산시 청호동 346,오산청호행복주택아파트 앞,1,1,10,360,900,1,Y,37.1310521,127.0867331,Y,N,,경기도 오산시청,031-8036-7702,2021-01-09
